ID d'incident,Timestamp,Type d'incident,Description,Severité,Statut,Responsable
1,2023-09-24,Intrusion,échec mise jour logiciel,Élevée,Ouvert,Equipe Réseau
2,2023-07-12,Panne matérielle,mise jour firmware a échoué,Élevée,En cours,Equipe Sécurité
3,2023-05-26,Intrusion,carte réseau ne répond plus,Faible,En cours,Equipe Réseau
4,2023-04-16,Intrusion,échec mise jour logiciel,Moyenne,Ouvert,Equipe Support
5,2023-10-22,Intrusion,échec mise jour logiciel,Faible,Ouvert,Equipe Réseau
6,2023-10-30,Intrusion,serveur principal a cessé fonctionner,Élevée,Ouvert,Equipe Systèmes
7,2023-10-02,Surcharge,accès suspects ont été détectés,Moyenne,En cours,Equipe Réseau
8,2023-01-12,Intrusion,serveur principal a cessé fonctionner,Faible,En cours,Equipe Support
9,2023-10-06,Mise à jour échouée,base données est sous forte charge,Critique,En cours,Equipe Sécurité
10,2023-08-20,Panne matérielle,échec mise jour logiciel,Moyenne,Résolu,Equipe Systèmes
11,2023-07-05,Surcharge,mise jour firmware a échoué,Critique,En cours,Equipe Systèmes
12,2023-08-01,Problème de connexion,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Sécurité
13,2023-03-31,Panne matérielle,mise jour firmware a échoué,Faible,En cours,Equipe Sécurité
14,2023-11-07,Surcharge,serveur web est surchargé,Élevée,En cours,Equipe Réseau
15,2023-06-14,Panne matérielle,accès suspects ont été détectés,Critique,En cours,Equipe Réseau
16,2023-08-02,Intrusion,base données est sous forte charge,Critique,Résolu,Equipe Sécurité
17,2023-05-10,Problème de connexion,serveur web est surchargé,Moyenne,En cours,Equipe Réseau
18,2023-08-15,Mise à jour échouée,capacité bande passante dépassée,Critique,En cours,Equipe Réseau
19,2023-10-14,Intrusion,serveur principal a cessé fonctionner,Moyenne,En cours,Equipe Support
20,2023-07-11,Problème de connexion,accès suspects ont été détectés,Faible,Ouvert,Equipe Sécurité
21,2023-08-11,Panne matérielle,disque dur est tombé panne,Faible,Ouvert,Equipe Réseau
22,2023-07-28,Problème de connexion,malware a été trouvé sur serveur,Critique,Résolu,Equipe Support
23,2023-09-14,Intrusion,connexion intermittente détectée,Critique,Ouvert,Equipe Sécurité
24,2023-08-05,Mise à jour échouée,serveur web est surchargé,Critique,En cours,Equipe Systèmes
25,2023-01-23,Intrusion,mise jour firmware a échoué,Élevée,En cours,Equipe Support
26,2023-10-29,Panne matérielle,mise jour firmware a échoué,Moyenne,Ouvert,Equipe Systèmes
27,2023-03-20,Panne matérielle,accès suspects ont été détectés,Élevée,Ouvert,Equipe Sécurité
28,2023-01-07,Surcharge,connexion au vpn a échoué,Faible,Ouvert,Equipe Sécurité
29,2023-03-05,Intrusion,mise jour firmware a échoué,Élevée,En cours,Equipe Sécurité
30,2023-12-30,Problème de connexion,accès suspects ont été détectés,Élevée,Résolu,Equipe Réseau
31,2023-02-26,Mise à jour échouée,serveur principal a cessé fonctionner,Critique,En cours,Equipe Systèmes
32,2023-03-31,Panne matérielle,carte réseau ne répond plus,Faible,En cours,Equipe Sécurité
33,2023-05-21,Surcharge,accès suspects ont été détectés,Faible,Résolu,Equipe Réseau
34,2023-05-06,Mise à jour échouée,serveur principal a cessé fonctionner,Faible,Résolu,Equipe Sécurité
35,2023-03-20,Panne matérielle,base données est sous forte charge,Élevée,En cours,Equipe Systèmes
36,2023-07-22,Mise à jour échouée,capacité bande passante dépassée,Critique,Ouvert,Equipe Sécurité
37,2023-03-08,Intrusion,impossible dappliquer mise jour sécurité,Critique,En cours,Equipe Systèmes
38,2023-03-26,Mise à jour échouée,malware a été trouvé sur serveur,Critique,En cours,Equipe Sécurité
39,2023-03-09,Intrusion,mise jour firmware a échoué,Élevée,Résolu,Equipe Systèmes
40,2023-05-27,Intrusion,connexion au vpn a échoué,Élevée,Ouvert,Equipe Support
41,2023-09-26,Intrusion,mise jour firmware a échoué,Moyenne,En cours,Equipe Sécurité
42,2023-07-28,Mise à jour échouée,accès suspects ont été détectés,Élevée,Ouvert,Equipe Réseau
43,2023-08-04,Mise à jour échouée,serveur web est surchargé,Faible,En cours,Equipe Support
44,2023-09-09,Intrusion,accès suspects ont été détectés,Élevée,Résolu,Equipe Sécurité
45,2023-04-05,Panne matérielle,connexion au vpn a échoué,Élevée,Résolu,Equipe Systèmes
